index,date,ON
341,18-Sep-2015,-0.08
342,21-Sep-2015,-0.08
343,22-Sep-2015,-0.08
344,23-Sep-2015,-0.09
345,24-Sep-2015,-0.09
346,25-Sep-2015,-0.085
347,28-Sep-2015,0.195
348,29-Sep-2015,0.175
349,30-Sep-2015,-0.08
350,1-Oct-2015,-0.28
351,2-Oct-2015,-0.09
352,5-Oct-2015,-0.11
353,6-Oct-2015,-0.105
354,7-Oct-2015,-0.095
355,8-Oct-2015,-0.405
356,9-Oct-2015,-0.095
357,12-Oct-2015,-0.11
358,13-Oct-2015,-0.11
359,14-Oct-2015,-0.11
360,15-Oct-2015,-0.33
361,16-Oct-2015,-0.105
362,19-Oct-2015,-0.115
363,20-Oct-2015,-0.105
364,21-Oct-2015,-0.105
365,22-Oct-2015,-0.335
366,23-Oct-2015,-0.11
367,26-Oct-2015,-0.12
368,27-Oct-2015,-0.12
369,28-Oct-2015,-0.115
370,29-Oct-2015,-0.285
371,30-Oct-2015,-0.095
372,2-Nov-2015,-0.115
373,3-Nov-2015,-0.11
374,4-Nov-2015,-0.115
375,5-Nov-2015,-0.345
376,6-Nov-2015,-0.115
377,9-Nov-2015,-0.23
378,10-Nov-2015,-0.13
379,11-Nov-2015,-0.13
380,12-Nov-2015,-0.38
381,13-Nov-2015,-0.125
382,16-Nov-2015,-0.12
383,17-Nov-2015,-0.12
384,18-Nov-2015,-0.105
385,19-Nov-2015,-0.345
386,20-Nov-2015,-0.115
387,23-Nov-2015,-0.1
388,24-Nov-2015,-0.2
389,25-Nov-2015,-0.295
390,26-Nov-2015,-0.305
391,27-Nov-2015,-0.095
392,30-Nov-2015,-0.1
393,1-Dec-2015,-0.095
394,2-Dec-2015,-0.13
395,3-Dec-2015,-0.41
396,4-Dec-2015,-0.14
397,7-Dec-2015,-0.135
398,8-Dec-2015,-0.13
399,9-Dec-2015,-0.13
400,10-Dec-2015,-0.39
401,11-Dec-2015,-0.12
402,14-Dec-2015,-0.095
403,15-Dec-2015,-0.065
404,16-Dec-2015,-0.005
405,17-Dec-2015,0.025
406,18-Dec-2015,0.08
407,21-Dec-2015,0.015
408,22-Dec-2015,0.025
409,23-Dec-2015,0.02
410,24-Dec-2015,0.03
411,28-Dec-2015,0.015
412,29-Dec-2015,0.035
413,30-Dec-2015,2.73
414,31-Dec-2015,0.05
415,4-Jan-2016,0.05
416,5-Jan-2016,0.005
417,6-Jan-2016,-0.0386199951171875
418,7-Jan-2016,0.005584716796875
419,8-Jan-2016,0.02
420,11-Jan-2016,0.005
